EudraCT Number,Sponsor Protocol Number,Sponsor Name,Full Title,Start Date,Medical condition,Disease,Population Age,Gender,Trial protocol,Link
2010-023062-40,PRP-001,"Medivation, Inc.","A Phase 1/2, First in Human, Single-arm, Open-label Study of Once a Day, Orally Administered Talazoparib (BMN 673) in Patients with Advanced or Recurrent Solid Tumors",2011-04-19,Advanced or recurrent solid tumors for which there is no accepted standard treatment or for which standard treatment has failed.  Patients may also be eligible if they are unable or decline to unde...,Version,"Adults, Elderly","Male, Female",GB(Completed),https
2009-016877-14,H1N1-2009,COPSAC,H1N1v Vaccination of Pregnant Women,2009-11-04,Protection against Influenza A H1N1v disease,,"In utero, Preterm newborn infants, Newborns, Infants and toddlers, Under 18, Adults","Male, Female",DK(Completed),https
2011-002044-28,HGT-MLD-070,Shire Human Genetics Therapies Inc,"A Phase I/II, Multicenter, Open-label, Dose Escalation Study of HGT-1110 Administered Intrathecally in Children with Metachromatic Leukodystrophy",2012-06-14,Treatment of Metachromatic Leukodystrophy,Version,"Infants and toddlers, Children, Under 18","Male, Female",DE(Completed) DK(Completed),https
2013-001048-73,BAY41-6551/13084,Bayer AG,"A Prospective, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Safety and Efficacy of BAY 41-6551 as Adjunctive Therapy in Intubated and Mechanically-Ventilated Pati...",2013-07-25,Gram-negative pneumonia,Version,"Adults, Elderly","Male, Female",CZ(Completed),https
2012-001650-26,AnticholiumperSeIII,"Ruprecht-Karls-University Heidelberg, Med Faculty represented by Universitätsklinikum Heidelberg and its Commercial D","A randomised, placebo-controlled, double-blind, monocentre study on the application of physostigminsalicylate (Anticholium®) as adjunctive measure in perioperative sepsis/septic shock",2014-04-28,,Version,"Adults, Elderly","Male, Female",DE(Completed),https
2012-000447-27,USKH_VL1,"Universitätsklinikum Schleswig-Holstein, Campus Kiel",Open Label Study for the Functional Characterization of Drug Metabolism and Transport in patients before routine visceral surgery,2012-07-25,"Pharmacokinetic trial in patients, with a good general condition before standard abdominal surgery",,"Adults, Elderly","Male, Female",DE(Temporarily Halted),https
2012-000449-11,EP250567,Eero Pesonen,Heparin dose (300 IU/kg vs. 600 IU/kg) in coroanry artery bypass grafting,2012-03-01,Patients undergoing elective coronary artery bypass grafting,Version,"Adults, Elderly","Male, Female",FI(Ongoing),https
2011-005066-38,CINC424AGB02,Novartis Pharmaceuticals UK Ltd,"A UK open-label, multicentre, exploratory Phase II study of INC424 for patients with primary myelofibrosis (PMF) or post polycythemia myelofibrosis (PPV MF) or post-essential thrombocythemia myelof...",2012-03-09,"primary myelofibrosis (PMF), post polycythemia vera myelofibrosis (PPV MF) or Post essential thrombocythemia myelofibrosis (PET-MF)",,"Adults, Elderly","Male, Female",GB(Completed),https
2011-005082-21,Uni-Koeln-1491,University of Cologne,Targeted BEACOPP variants in patients with newly diagnosed advanced classical Hodgkin Lymphoma,2012-09-25,newly diagnosed advanced classical Hodgkin Lymphoma,Version,Adults,"Male, Female",DE(Completed),https
2012-004439-22,CAIN457F2312,Novartis Pharma Services AG,"A Phase III randomized, double-blind, placebo-controlled multicenter study of subcutaneous secukinumab in prefilled syringes to demonstrate the efficacy at 24 weeks and to assess the long term effi...",2013-04-08,Psoriatic arthritis,Version,"Adults, Elderly","Male, Female",GB(Completed) BE(Completed) CZ(Completed) DE(Completed) PL(Completed),https
